participantId,task,id,rsp_time,status,data.select.x,data.select.y,pixel.select.x,pixel.select.y,param.mu,param.sigma,param.lambda,param.p,param.q,data.ans.x,data.ans.y,data.left.grad,data.right.grad,pixelToMM,dist_to_screen,phy.select.x,phy.select.y,va.select.x,va.select.y,pixel.ans.x,pixel.ans.y,phy.ans.x,phy.ans.y,va.ans.x,va.ans.y,flat
67f9736009c0ccdd5034f448,task2,3,14.906,completed,2.14,0.2216960191797474,431.99000000000007,322.4300724239998,1.6,1.43,-0.35,4.71,6.48,1.6,0.22319916640665077,0.004122093243595689,-0.1125172849724279,5.882352941176471,559.3997159040903,64.93830000000001,14.886887687920037,6.643765698258784,1.5246798956656105,403.1,321.8363292693729,60.027,14.987824024206601,6.142297133185573,1.5350163245056667,0.058319689108011795
67f9736009c0ccdd5034f448,task2,4,11.625,completed,-0.54,0.30680255150175795,288.61,288.81299215680565,-0.17,1.05,0.05,3.95,22.16,-0.17,0.30755871331170176,0.1332999460558286,-0.09366335356615318,5.882352941176471,559.3997159040903,40.5637,20.601791333343037,4.152864523319853,2.1098729051533227,308.405,288.5143082418778,43.92884999999999,20.652567598880772,4.497044576746642,2.115071830096277,0.11348164981099089
67f9736009c0ccdd5034f448,task2,5,8.919,completed,0.69,0.3714971787590889,354.415,263.2586143901599,1.04,0.88,0.24,3.6,14.03,1.04,0.37750161884468564,0.4583610929910858,-0.14410308791728274,5.882352941176471,559.3997159040903,51.75055,24.946035553672818,5.296706563539845,2.5546415514196674,373.14,260.8868605563492,54.93379999999999,25.349233705420637,5.6220070649900205,2.5959177369006565,0.30123209045418425
67f9736009c0ccdd5034f448,task2,6,8.931,completed,-1.06,0.3884270343989984,260.79,256.5713214123956,-0.78,0.82,0.37,4.48,11.13,-0.78,0.39081931649164603,0.5036218968683234,-0.09334367495545488,5.882352941176471,559.3997159040903,35.8343,26.082875359892746,3.6690266974559553,2.671020336057244,275.77,255.6263699857998,38.3809,26.24351710241403,3.929572119318439,2.6874648621660313,0.29848278591188915
67f9736009c0ccdd5034f448,task2,7,8.498,completed,-0.23,0.5842232038910914,305.195,179.2318344630189,-0.25,0.68,-0.4,2.22,24.93,-0.25,0.5845649023135722,0.3976602176439849,-0.1545200932370744,5.882352941176471,559.3997159040903,43.38314999999999,39.23058814128678,4.441236945926097,4.016495730126621,304.125,179.096863586139,43.201249999999995,39.25353319035637,4.4226339325957795,4.018842958856396,0.27609015544052967
67f9736009c0ccdd5034f448,task2,8,7.826,completed,-1.64,0.3086888913495344,229.76,288.067887916934,-1.38,1.03,0.6,4.75,21.26,-1.38,0.3115535652736472,0.046773815087614135,-0.011258308089584012,5.882352941176471,559.3997159040903,30.559199999999997,20.728459054121217,3.1292077844050357,2.1228422549351005,243.67000000000002,286.93634171690934,32.9239,20.92082190812541,3.371214183860182,2.1425379432553173,0.029016061588599075
67f9736009c0ccdd5034f448,task2,9,10.316,completed,0.52,0.3233777686123772,345.31999999999994,282.265781398111,0.31,0.99,-0.59,4.95,7.05,0.31,0.324364263832131,0.013386714825003709,-0.044513967459597056,5.882352941176471,559.3997159040903,50.204399999999985,21.714817162321125,5.138672307932981,2.22383234362407,334.085,281.8761157863082,48.29444999999999,21.7810603163276,4.943426577981614,2.2306146487027934,0.028950341142300384
67f9736009c0ccdd5034f448,task2,10,8.059,completed,0.85,0.5262374906049256,362.975,202.1361912110544,0.99,0.61,0.35,4.27,24.72,0.99,0.5268785793065774,0.07579619304903668,-0.41819969635887905,5.882352941176471,559.3997159040903,53.20575,35.33684749412075,5.445426281257223,3.618127274182935,370.465,201.88296117390192,54.479049999999994,35.37989660043667,5.57554099398994,3.622532122649383,0.24699794470395786
67fbed03e8c70e38014c41b3,task2,1,99.856,completed,-0.59,0.4066757621550012,285.935,249.3630739487745,-0.45,0.93,0.34,2.55,6.96,-0.45,0.41053439633249394,0.3399869585913974,-0.1883344266779738,5.08235294117647,588.9913856996682,46.42239583333334,31.606802579523535,4.513532439334162,3.073902348715968,293.425,247.8389134486649,47.89612268518519,31.906695270517325,4.656663911117402,3.1030540599074925,0.26416069263468556
67fbed03e8c70e38014c41b3,task2,2,22.852,completed,1.7,0.36468657427674217,408.4500000000001,265.94880316068685,1.57,0.99,-0.49,2.88,14.28,1.57,0.3668893790931569,0.09318990419786827,-0.2669289898543394,5.08235294117647,588.9913856996682,70.52835648148151,28.343406785513004,6.8526621792271944,2.756652046232454,401.495,265.078695258203,69.15989583333334,28.51460857188135,6.72000770948162,2.7732964831284836,0.18005944702610382
