participantId,trialId,trialOrder,responseId,condition,status,answer,duration,cleanedDuration,parameters_taskid,parameters_itemWidthMM,parameters_itemHeightMM,parameters_blindspotAngle,parameters_taskType,parameters_training,parameters_x,parameters_y,parameters_taskIndex
"5ac9d112436f5500010007a5","point_task_37","69","","default","rejected","","","-1","","","","","point","","","","112"
"5ac9d112436f5500010007a5","point_task_37","69","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_1","70","","default","rejected","","","-1","","","","","point","","","","4"
"5ac9d112436f5500010007a5","point_task_1","70","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","point_task_38","71","","default","rejected","","","-1","","","","","point","","","","113"
"5ac9d112436f5500010007a5","point_task_38","71","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5ac9d112436f5500010007a5","post_study","72","","default","rejected","","","-1","","","","","","","","",""
"5ac9d112436f5500010007a5","post_study","72","windowEvents","default","","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","","","","","","","","","","",""
"5b5a822e1ad8270001c4f28d","participantTags","","participantTags","pointArc","","[""virtual-chinrest""]","","","","","","","","","","",""
"5b5a822e1ad8270001c4f28d","introduction","0","prolificId","pointArc","rejected","5b5a822e1ad8270001c4f28d","301780","301780","","","","","","","","",""
"5b5a822e1ad8270001c4f28d","introduction","0","windowEvents","pointArc","","{""focus"":2,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":9,""mousedown"":1,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":1}","","","","","","","","","","",""
"5b5a822e1ad8270001c4f28d","consent","1","consentApproval","pointArc","rejected","Accept","9957","9957","","","","","","","","",""
